0,1,2
CDC25A,pp,CDK4
CDC25A,pp,AURKA
CDC25A,pp,MAPK3
CDC25A,pp,PRKDC
CDC25A,pp,PRKACB
CDC25A,pp,GSK3B
CDC25A,pp,RPS6KA3
CDC25A,pp,CDK2
CDC25A,pp,WEE1
STK11,pp,MARK1
STK11,pp,SNRK
STK11,pp,STK11
STK11,pp,PRKDC
STK11,pp,PRKCA
STK11,pp,MARK2
NTRK1,pp,RASA1
NTRK1,pp,NTRK1
NTRK1,pp,PTPN1
NTRK1,pp,ABL1
NTRK1,pp,NTRK3
NTRK1,pp,NTRK2
NTRK1,pp,SRC
NTRK1,pp,ERBB2
NTRK1,pp,IGF1R
NTRK1,pp,INSR
NTRK1,pp,MAPK3
EPHA8,pp,FYN
PAK6,pp,CDC2
PAK6,pp,GSK3B
PAK6,pp,MAPK8
IRAK3,pp,IRAK2
IRAK3,pp,IRAK1
IRAK3,pp,IRAK3
PRKCE,pp,RAF1
PRKCE,pp,MAPK1
PRKCE,pp,PPP1R14A
PRKCE,pp,PRKCE
PRKCE,pp,FYN
PRKCE,pp,BCR
PRKCE,pp,PRKACB
ADRBK1,pp,SRC
ADRBK1,pp,ADRBK2
ADRBK1,pp,GRK5
ADRBK1,pp,ATM
ADRBK1,pp,BCR
ADRBK1,pp,CAMK2B
ADRBK1,pp,CAMK2G
ADRBK1,pp,FGFR1
ADRBK1,pp,GRK6
ADRBK1,pp,IGF1R
ADRBK1,pp,JAK3
ADRBK1,pp,LTK
ADRBK1,pp,PDPK1
ADRBK1,pp,PHKG1
ADRBK1,pp,PKN2
ADRBK1,pp,TNK2
ADRBK1,pp,GSK3B
ADRBK1,pp,MAPK14
MAP4K5,pp,BCR
MAP4K5,pp,MAP4K1
MAP4K5,pp,STK38
MAP4K5,pp,ICK
MAP4K5,pp,TNIK
MAP4K5,pp,DAPK2
MAP4K5,pp,STK39
MAP4K5,pp,MINK1
MAP4K5,pp,PINK1
MAP4K5,pp,WNK1
MAP4K5,pp,SNF1LK
MAP4K5,pp,ABL1
PPP1R1A,pp,PPP1R3A
PPP1R1A,pp,PPP1R3C
PPP1R1A,pp,PPP1R8
PPP1R1A,pp,PPP1R3D
PPP1R1A,pp,PPP1R2
PPP1R1A,pp,PPP2R1A
PPP1R1A,pp,PPP1CC
PPP1R1A,pp,CDC2
PPP1R1A,pp,AKT1
PPP1R1A,pp,GSK3B
PPP1R1A,pp,RPS6KA3
PPP1R1A,pp,MAPK14
CTDP1,pp,CTDP1
CTDP1,pp,PRKDC
CTDP1,pp,CDK2
CTDP1,pp,RPS6KA3
CTDP1,pp,STK38
PTPRO,pp,PIM1
PTPRO,pp,KIT
BMPR1B,pp,PFTK1
BMPR1B,pp,BMPR2
BMPR1B,pp,PPP2CA
BMPR1B,pp,TGFBR1
BMPR1B,pp,PPP3CC
BMPR1B,pp,AMHR2
BMPR1B,pp,BMPR1B
BMPR1B,pp,OXSR1
BMPR1B,pp,BMPR1A
BMPR1B,pp,PAK1
BMPR1B,pp,UHMK1
BMPR1B,pp,BCR
BMPR1B,pp,ILKAP
BMPR1B,pp,MAP2K3
BMPR1B,pp,MKNK2
BMPR1B,pp,STK35
BMPR1B,pp,CDK4
BRD3,pp,CSNK1E
BRD3,pp,CDK2
BRD3,pp,GSK3B
BRD3,pp,RPS6KA3
NEK2,pp,NEK2
NEK2,pp,NEK11
NEK2,pp,PPP1R2
NEK2,pp,PPP1CA
NEK2,pp,MAPK1
NEK2,pp,NEK3
NEK2,pp,PPP1CC
STK24,pp,PPP2CB
STK24,pp,STK25
STK24,pp,PPP2R1A
MAPK11,pp,MAPK13
MAPK11,pp,MAP2K6
MAPK11,pp,MAPK9
MAPK11,pp,RPS6KA2
MAPK11,pp,SRPK1
MAPK11,pp,SRPK2
MAPK11,pp,STK4
MAPK11,pp,TEC
MAPK11,pp,ZAP70
MAPK11,pp,MAP3K12
MAPK11,pp,RPS6KA4
MAPK11,pp,STK17B
MAPK11,pp,STK17A
MAPK11,pp,TAOK2
MAPK11,pp,MAP4K4
MAPK11,pp,OXSR1
MAPK11,pp,MAP4K5
MAPK11,pp,MAP4K1
MAPK11,pp,STK38
MAPK11,pp,ICK
MAPK11,pp,TNIK
MAPK11,pp,DAPK2
MAPK11,pp,STK39
MAPK11,pp,MINK1
MAPK11,pp,PINK1
MAPK11,pp,WNK1
MAPK11,pp,SNF1LK
MAPK11,pp,MKNK1
MAPK11,pp,MKNK2
MAPK11,pp,MAPKAPK5
MAPK11,pp,EEF2K
MAPK11,pp,SRC
